Sign_Order,Sign_Order_Num,Fortune_Level,Poem_Title,Poem_Text,Holy_Meaning,Sign_Interpretation,Meaning_Explanation,Detailed_Explanation,DongPo_Commentary,BiXian_Commentary
第 48 籤,48,戊辛 (中吉),竇長君至長安,登山涉水正天寒，兄弟姻親那得安，不遇虎頭人一喚，全家誰保汝重歡。,遇貴人、訟和平、病驚險、莫求名、財物耗、婚宜停、逢寅字、事漸亨。,此籤景況艱難。人口欠安。凡事類多齟齬。幸轉眼之際。恰有一貴人從中得力。誠以指示迷途。須識機緣所在。悉心聽從。自得骨肉團圓。人情和合。凡謀遂意矣。否則倀倀然之。豈有安全。保聚之樂乎。,登山涉水。謂涉歷艱難也。兄弟姻親。合內外言。那得安寧。內外不寧也。虎頭。謂盧虞之姓。或虔州處州上虞虞城各地名。一曰晉顧愷爲虎頭將軍。應在顧姓。必得此人。爲之喚醒。自保安泰。重歡。謂離者可使複合。失者可使復得，危者可使復安也。若遇此人。而不知省。則失之矣。,目前正處於混亂險阻的狀況，全家大小兄弟姻親間全都不和，鬧得全部雞犬不寧。虎頭人，表示姓盧或虞等有如虎頭字的人或屬虎的人，經過此貴人的指點，將破除兄弟內外之間的不睦，重修舊好，家運將轉危爲安。但是當遇到虎頭姓的貴人而不自知時，可能會失去這個大好機會，不得不注意，千萬別失去這個可讓家運好轉的良機。,歷涉艱難、時運輒左、家道不齊、事多坎坷。遇富貴人、提挈方可、倘無所濟、難逃後禍。,先難後易本天然、幾度勞心事不全、若得貴人提挈處、管教騎鶴與腰纏。
第 49 籤,49,戊壬 (下下),張子房遁跡,彼此居家只一山，如何似隔鬼門關，日月如梭人易老，許多勞碌不如閒。,名利阻、且休問、訟宜和、病有願、婚姻遲、行人遠、欲獲吉、且安份。,此籤主情意隔角。不遇扶持。看似密邇相連。其實咫尺天涯。勢同秦越。智士知己知彼。舍此另投。或有遇合。若信。文貌周旋。口頭熱鬧。外密中疏。終鮮實際。不唯耽誤時日。更費趨候奔走之勞。此等人爲世詬病久矣。奈何其弗之省也。,彼此家居。誼屬鄰里。只一山。過從甚便也。鬼門關。言其肝膽隔別。不啻陰陽分界也。歲月如梭。言盼望無期。空自遲誤。許多勞碌。言所倚非人。所謀非計。枉受奔波之累。則何如識透人情。消閒自在。其不綽綽然有餘裕哉。戒佔者勿妄交。勿枉己。勿輕信。,雖然與周圍的人看似親近，但卻從未真心地相待過，猶如陰陽兩界，是無法跨越的。在快速的時間飛逝下，人也漸漸地不再年輕，但總是所託非人，無法成事，白忙一場，倒不如什麼都不做，生活過得倒還比較自在。此籤表示無法和他人情意交流，無法相信別人，只相信自己，但又交待錯人，一生都是如此，所以別再相信不該相信的人了。,安閒易處、出門有阻、時迍易過、枉自勞苦。且宜守舊、隨分而去、運未亨通、那宜進取。,形跡如親實不親、相看只作鏡中人、謀爲動作皆無定、只恐虛名不得真。
第 50 籤,50,戊癸 (上吉),牛宏不聽射牛,人說今年勝去年，也須步步要周旋，一家和氣多生福，萋菲讒言莫聽偏。,出入吉、財物多、孕可保、病即瘥、婚易成、訟宜和、問行人、奏凱歌。,此籤主年運亨通。時和歲稔。家旺人興。然修身乃齊家之本。禮教實門內之防。必須周規折矩。仁讓雍雍。方遂和平之福。更忌婦人搬弄。宵小離間。是爲萋菲讒言。不可偏聽。斯家道成而流澤長矣。凡事謹慎和平則吉。,今年勝去年。人事漸漸順利。步步循規矩。舉動不可疏虞。和氣致福。須宜妻子。睦兄弟。感召吉祥。讒言莫聽。須存見解。厚包容。慎防偏倚。凡事盡人事以應天時則可。恃天時而廢人事。則不可。可不慎諸。,今年明顯地比去年要好，運勢也漸漸順遂，只要亦步亦趨地循規蹈矩，全家和樂融融，則會有更多的福氣，要小心女人間的是非，言語離間是破壞的導火線，不必過於聽信，得來不易的好運不可因此而破運。此籤表示要從人和做起，等到適和的天時，則會旺家旺族，不可等到時機已到，纔要調整人事，則會浪費天助好運。,謀望勝前、卻宜進取、人事周旋、禍消福至。勿信讒言、惶惑思慮、慎終如始、切莫顛墜。,剝復亨迍遞往還、今番管許勝前番、婦人言語君休聽、家道興衰在此間。
第 51 籤,51,己甲 (上吉),御溝流紅葉,君今百事且隨緣，水到渠成聽自然，莫嘆年來不如意，喜逢新運稱心田。,名漸顯、訟漸寬、財自裕、病自安、行有信、婚可定、命漸亨、心必稱。,此籤暫時安分。後此漸有機緣。不求自至。切勿因近年謀爲不遂。常自嗟嘆。人事有得有失。命運有否有泰。一到亨通之時。名成利就。自有吐氣揚眉之日也。,百事隨緣。言目下聽天安命。不用強求。水到渠成。言水勢所到之處。自成溝渠。原系自然之理。非人力所能逮也。前不如意。往事困頓之境。喜稱心田。後此行運之時。凡事不可欲速。久久自有成就。,過去也許有點受阻的感覺，但凡事只宜隨遇而安，不可過度強求，運勢走到此時，有水到渠成之勢，只要順其自然，一切將會相隨心轉。不要怪罪過去的不順遂，如果只會怨天尤人，就算好運來臨也只是擦肩而過，以歡欣的心情迎接好運勢的到來，一切將會更稱心如意。此籤表示一時的受阻，不必太在意，即將來臨的好運纔是值得珍惜的。,目下謀望、且隨緣分、一朝榮達、身顯如願。休自嗟怨、待時遷變、漸遇亨通、好事疊見。,一生勞碌不曾閒、幾度牽纏名利關、漸遇亨通堪稱意、後來容易只先難。
第 52 籤,52,己乙 (上吉),鄧仲華杖策渡河,兀坐幽居嘆寂寥，孤燈掩映度清宵，黃金忽報秋光好，活計扁舟渡北朝。,名晚成、利遲得、病漸安、訟終息、孕無驚、婚姻吉、行人回、事勝昔。,此籤現在光景落寞不堪。幾無復有起色。豈知通塞無常。剝復遞轉。不意之間。頓有好音。自北而至。或已向北而往。名利即在此中。滔滔順利。凡事有意外遇合。,幽居寂寥。無人援助。孤燈掩映。形影自憐。極言寒微不堪之苦。秋光好。主秋間有好消息。黃金。即一紙家書抵萬金之意。渡北朝。應在北方。活計扁舟。言輕帆徑渡。活計在指顧間。可不勞而成也。先憂後樂。待時則吉。,目前處於時運不濟之時，度過無數個孤獨寂寥的日子，意味沉寂地等待，終於等到好運的到來，大約會在秋季，而且是忽然間就會有好運來，將原來停滯不前的運勢，一下子就打通了，而且輕鬆容易地過生活，完全沒有生計上的問題，好運或許來自北方，或是必須往北方去，一切在命運中，自會有安排，目前的困頓將是未來順意的基石。,席珍待聘、休嗟未遇、忽際明時、青雲穩步。好音一來、得意高舉、凡事必諧、皆有佳趣。,幾載青雲志未酬、此心憂處不成憂、庚辛得遇真知己、破浪乘風作勝遊。
第 53 籤,53,己丙 (下下),劉先生入贅東吳,艱難險阻路蹊蹺，南鳥孤飛依北巢，今日貴人曾識面，相逢卻在夏秋交。,病與訟、皆不利、名與財、亦阻滯、孕有驚、行未至、若遇貴、事方濟。,此籤歷涉艱險。謀爲不遂。不知避凶趨吉。反自捨安就危。與南鳥北巢何異。須待貴人得力。幸今日已經識面。將來夏秋之交。必有應驗。名利可成。婚姻可合。孕育可許。凡事先有機兆。而後成之。,艱難險阻。事緒紛擾之象。路蹊蹺。顛墜不可保也。南鳥北巢。言其流離失所。不可安處也。貴人識面。今日已有機緣。可望提拔。相逢夏秋交。言應在夏間。或秋間。或夏秋相接之際。於此時必得貴人之力。可無艱難險阻之憂矣。佔者須待人而行。擇人而與則吉。,總是比別人多花許多的力氣，還是倍受阻難，而且顛沛流離，重重難關，似乎永無天日，運勢無法順遂，就如南方的飛鳥獨自朝着北方而去，等着它的是冰天雪地，並非春暖花開的天堂，也可說是去錯地方了。如此的阻運必須有貴人相助，纔能有所改變，你的貴人是你已認識的人，但是必須在夏秋之交再度重逢，你才能因貴人的指點而改變運勢。要注意貴人的出現，不要錯失轉運的好機會。,艱難歷遍、作事皆非、南鳥北巢、失其所依。夏秋之交、貴人相提、應稱謀望、榮達可期。,謀爲先阻後還亨、此際心機莫亂行、若得貴人提拔處、諸般方可事圓成。
第 54 籤,54,己丁 (中平),蘇秦十上書,萬人叢裏逞英豪，便欲飛騰霄漢高，爭奈承流風未便，青燈黃卷且勤勞。,財未遂、名未超、訟不宜、病未消、婚難信、行路迢、待時至、百事饒。,此籤主功名沉滯。時運未濟。雖然自逞英豪。志圖衝舉。然如舟楫未及洪流。鴻毛不遇順風。仍須守待。唯用功於青燈黃卷之中。皇天不負苦心人。將來自有發跡。慎毋欲速。毋怠惰。功夫既到。天機自合耳。凡事以艱難得之。,英豪。指奇傑之士。萬人頭上。超出萬人也。飛騰霄漢。自負一蹴青雲之志。然事勢有次第。時運有遲速。承流風未便。時未可。勢未可。如魚不得水。鳥不得風。何能快意順利。黃卷青燈。士人本業。守勤勞。用功待時也。時至方許稱意。現在宜守舊。宜安分。不可妄爲。,想要超出衆人之上，而且自負有超脫的能耐，只可惜天地萬物有序，並非有崇高的理想，就一定能達成，必須等待時機的到來，現在是時運不濟之時，就如船遇淺灘、羽翼無法順風，無法依自己的意願而行，必須努力度過這暗潮洶湧的困境，等待好運勢的到來。目前必須努力在讀書或自修上，人在困惑之時，可從書本中找到答案，而且不可有懈怠之心，必須勤勞努力，等待好運。,謀望過高、便其遠到、爭奈時乖、徒自狂躁。且宜守己、勉行善道、直待時亨、凡事皆好。,強取強求不自知、箇中綿力本差池、狂風逆水皆爲患、險阻艱難在此時。
第 55 籤,55,己戊 (中平),包龍圖勸農,耕勤力作莫蹉跎，衣食隨時安分過，縱使經商收倍利，不如逐歲廩米多。,休問貿、莫貪財、訟宜解、病無災、婚可就、遠行回、戒出入、福自來。,此籤戒營謀務本。衣食隨緣。不可貪求。不可過分。若務商賈奇嬴之利。必至使用心機。慣行刻剝。財利終不永久。何如耕作勤儉之人。自食其力。倉廩充實。豈非裕後傳家之長計乎。凡事宜守舊。仕人不可改商。定主虧折。若由商改士則吉。庠序食廩米。仕宦食廩祿。,耕勤力作。農家本計。莫蹉跎。戒勿虛度歲月也。隨時安分。戒不可貪求意外之事。經商倍利。乃逐末者所爲。終不可恃。廩米多。言田家力田。逢年倉廩廣積。較經商爲安穩也。大衆宜靜不宜動。宜勤不宜惰。宜儉不宜奢。宜約不宜貪。佔者審之。,努力耕作不懈怠，則會衣食無缺地過着好日子，所謂的耕作是指實際操作的工作，並非是從事商業，此籤告戒不宜從商，雖然從事商業有更大的收穫，但利益大的事情風險也很大，眼前的利潤有背後的風險，可能會有更大的損失，無法有穩定的收入，倒不如從事公務員，可以有穩定的收入，長時間的累積，也比從商要好很多。此籤建議，如果目前從商，必須改行從事穩定收入的公職較好。,衣食自足、強求則損、不如歸耕、種植爲本。縱巧經營、豈能長遠、安分守成、榮達未晚。,守己須防巧用心、皇天有眼不虧人、只宜安分休更改、恐怕災殃及汝身。
第 56 籤,56,己己 (下下),張綱埋輪,心頭理曲強詞遮，直欲欺官行路斜，一旦醜形臨月鏡，身投憲網莫諮嗟。,莫興訟、勿求財、病有崇、行人回、婚宜慎、難信媒、行正直、免兇災。,此籤主有瞞心昧己之事。官非口舌之災。始時譸張爲幻。希圖幸勝。一旦水落石出。機關破露。致遭刑憲之累。自作自受。理所應得。復自嗟嘆何益乎。凡有機事機心。及早悔悟免禍。,理曲詞遮。明明不循道理。虛言粉飾。是自欺也。更欲欺官行邪。乃是健訟鬥詐之謀。則欺人矣。總之皆是欺天。天鑑不容。醜惡自露。臨月鏡。言如月之光明。鏡之澄徹。豈有遁形乎。於是法律不容。自投罪網。害人終自害。悔無及矣。人慎毋墜此孽障哉。,雖然心裏知道理由不夠充份，但仍然以花言巧語在遮飾，此種個性易惹官非，就算在公堂之上，照樣自圓其說，欺官騙上，並非自認有理就會贏，畢竟夜路走多了，還是會露出馬腳，可以騙別人，但無法騙自己，一旦事蹟敗露之後，所有罪刑都原形畢露，總會受到法律的制裁，到時不必怨嘆。如果能從現在起有所改變，以真心相待，相信必可免除一場牢獄之災。,心邪理曲、飾詞欺公、明鏡照破、必致終兇。何如退步、正直是從、庶免其禍、可保厥躬。,訟累皆由自己招、十場煩惱九場焦、不如退步求安靜、只把明香向佛燒。
第 57 籤,57,己庚 (中平),田皓定儲,事端百出慮雖長，莫聽人言自主張，一着仙機君記取，紛紛鬧裏更思量。,訟急解、病早禳、信即至、財如常、孕生男、禱神康、凡百事、自主張。,此籤凡有疑難。須自作主。不可靠人。如奕棋者。本有仙着可下。人自不識。急須參透此事要着。恰中竅會。自然不勞而理。不戰而定。若但隨人作計。是非不辨。進退不決。豈有濟乎。,事端百出。擾攘不寧之象。慮雖長。左思右想。謀慮不定也。莫聽人言。道謀總是無成。自作主張。內斷還須堅定。奕棋者。常有妙着。是爲仙機。解紛者。貴在良謀。當自記取。紛紛鬧裏。何用遲疑。切勿思量。不時綏定矣。凡事宜斷宜先。謀可成。患可解也。,事情層出不窮，變化多端，雖然自己有許多的想法，但總是下不了決定，此時千萬不要聽從別人的建議，必須自有主張，就如下棋的人，遇到了難解之時，還是必須自己思量，而且會有神來一筆之助，目前雖然鬧得沸沸揚揚，必須改變猶豫不決的個性，自己下決定必能度過此時的喧鬧，此籤告誡千萬不可由他人來幫你決定，因爲必定是個壞結果，相信自己就對了。,事務多端、紛紜不已、三思後行、悉歸條理。莫信人言、當自揣己、擠先一着、何事不濟。,是非誰不帶將來、只要心中自主裁、先着堪從贏地立、若遲一步便成災。
第 58 籤,58,己辛 (上吉),蘇秦說趙王,蘇秦三寸足平生，富貴功名在此行，更好修爲陰騭事，前程萬里有通亨。,病即安、訟決勝、行人回、婚宜定、孕生男、家道盛、積陰功、福自應。,此籤宜動不宜守。宜遠不宜近。口舌之才。必有遇合。名利可成。但恐陰騭有虧。至令天機阻滯。必須勤加積累。上格天心。自然一舉沖霄。前程遠大。戒人去惡從善。趨吉避凶之意。至深切矣。,三寸。謂舌也。蘇秦掉三寸舌。佩六國相印。白壁百雙。黃金萬鎰。所謂足平生也。此行似此。富貴可得。功名可成。故曰在此行也。修爲陰騭。諭令積德祈天。前程通亨。謂人事天時交至。若長舟之破浪。鴻鵠之搏風。萬里可到。吉無不利矣。不務陰騭者不應。,靠着三寸不爛之舌，就可讓自己衣食無缺，是個天生靠口才喫飯的人，而且此次的行動，更可讓你功成名就，享有富貴榮華，可說達到人生的高點。然而想讓自己富貴長在，必須要多積陰德，多做善事，未來的前程將可更長遠，並且不受阻礙。如果無視積德之事，就算是好運來臨，也只是一時，必會招來厄運，而且不做善事的人，抽到此籤也等於是沒有，不受好運保佑。,凡百謀望、遠行則吉、求財必豐、求名必得。更行好事、以助陰騭、富貴榮華、始自今日。,孕則生男財則遂、功名到底可相期、作事有成終有望、凡人皆可問謀爲。
第 59 籤,59,己壬 (中平),鄧伯道無兒,門衰戶冷苦伶仃，可嘆祈求不一靈，幸有祖宗陰騭在，香菸未斷續螟蛉。,名難保、財難圖、訟不利、病無虞、婚可合、信音無、行方便、謹修持。,此籤門祚衰微。子嗣艱貴。屢次求神不應。當由己身德薄。未能感格天心。然賴先世以來。餘澤未斬。己雖無出。尚可謀立繼嗣。上承煙祀。猶爲不幸中之幸。凡事不得乎上。可望其次。不得於彼。必得於此。總須善功培植方應。,門衰戶冷。人家式微極矣。兼苦伶仃。兒女艱難之狀。祈神不靈。只知許願。不知積德也。祖宗陰騭。原有可憑。善善從長。絲粟不漏。幸有一毫挽救之處。天必不絕其後。螟蛉。繼子也。香菸未斷。尚可撐立門戶。益當存心繼祖德也。審矣。,家道逐漸衰弱，人丁單薄，門戶冷清，對於祈禱之事，沒有任何一件實現，只會祈求，卻不懂得付出是此籤的重點，所以一直無法如願。所幸祖先有積陰德，庇廕到此代，才不至於因此而斷了香火。此籤指出，由於人丁過於稀少，無法有自己的子嗣，但會有繼子繼承衣鉢，以解決無後的問題。如果能多加積德，則能更加順遂。,門戶衰微、空自祈禱、幸有祖宗、陰騭可保。若問後嗣、異姓方好、更行善事、當得美報。,蕭條何自問榮華、夢想微蘭鏡裏花、一線萌芽綿血食、還憑餘德屬君家。
第 60 籤,60,己癸 (上上),郊祁同科,羨君兄弟好名聲，一意謙撝莫自矜，丹詔槐黃消息近，巍巍科甲兩同登。,宜出入、好謀望、訟即解、財亦望、孕生男、病無恙、信音回、有神相。,此籤才品超羣。同氣和美。但須小心畏慎。不可驕傲取咎。轉瞬之間。即有丹詔之榮。槐黃之喜。好音爲不遠矣。又主兄弟同榜之兆。凡事應在雙數。,兄弟。同氣連枝之誼也。好名聲。難兄難弟也。一意謙撝。謙卦六爻皆吉也。莫自矜。戒勿炫才。勿倚勢。勿盈滿也。丹詔降至九天。榮承雨露。槐黃。應在四月。捷報泥金。科甲巍巍。定是魁元之選。宮花兩兩。同爲廊廟之材。吉何如之。但須常守惡盈好謙之懼。則有終矣。,兄弟指的是師出同門之誼，不必羨慕兄弟的好名聲，因爲自己也不差，一切都算順利，但要記住不可炫耀，也不可仗勢或自大，可得到上天的幫助而一舉成名天下知，而且會與同門師兄弟一同上榜，或同時被提拔重用，必須隨時保持謙卑的態度，不可因得勢而沾沾自喜，如能時時謙爲，排除忌妒之心，則好運會一直常存。此籤表示出好事成雙，不要排斥或忌妒同門，則能共享榮譽。,兄弟聯芳、聲名自起、凡事謙撝、以全其美。前程遠大、好事近矣、兩兩相高、同登甲第。,同志同登兩得仙、時來凡事合先鞭、所謀所望皆如意、福祿榮華件件全。
第 61 籤,61,庚甲 (中吉),祭徵虜雅歌投壺,嘯聚山林兇惡儔，善良無事苦煎憂，主人大笑出門去，不用幹戈盜賊休。,財平平、病漸救、訟自散、莫與較、遠行歸、婚亦宜、雖有險、終平夷。,此籤主道途驚險。小人侵害。唯是善良之人。遇兇不兇。遇險不險。則意外憂懼。彈琴可以解圍。焚香可以卻敵。彼自談笑。賊已遁逃。非所謂吉人天相者乎。凡事兇中得吉。陰蒙神佑。當益勉之。,嘯聚山林。乃是盜賊當前爲患。兇惡可知。善良。循理守分之人。無事煎憂。言冥冥中自有庇廕。大笑出門。自來自去。坦蕩如故也。不用幹戈。言無事鬥狠爲勇。盜賊休。禍患自散也。修德遠害之報。有如此者。凡遇兇危。修省可免。,小人當道，此行必充滿險阻，並有盜賊肆虐之象，然而只要是爲人正直，且循規蹈矩之人，必能順利脫險，只是倍受煎熬，無形之中得到神明的庇廕。不妨隨自己意願，來去自如，坦然行事，完全不受影響，只要自己行得正，即使不用幹戈，宵小盜賊也自會散去。此籤指出遇到兇險之事，會自動化解，若以小人之心以對，反會招厄，必須培養光明正大的心胸。,惡少操戈、欲害良善、彼何能爲、徒逞強健。君子善勝、收功不戰、神明相之、陰消禍變。,心驚如踏一層冰、戒懼何憂險阻深、一葦一航波浪定、駸駸喜色靄門庭。
第 62 籤,62,庚乙 (中吉),李愬雪夜入蔡州,百千人面虎狼心，賴汝干戈用力深，得勝回時秋漸老，虎頭城裏喜相尋。,訟必勝、財必進、病有崇、遠有信、婚可成、名可稱、到秋來、百事順。,此籤主克敵戰勝之兆。言虎狼之人。百千爲羣。勢甚猖獗。賴汝整頓干戈。殲擒不遺餘力。是以振旅凱還。正在秋色將老之際。一時功成名遂。恰於虎頭城裏。喜氣相逢。追尋快意。其亦有行藏自適者乎。凡事先險阻。後亨通。應在秋日。或西方或虎字頭州縣地名。或應在晚景。,百千虎狼。乃是爲害之人。干戈用力。恰遇就援之助。得勝而回。策勳持賞。秋光漸老。好景無多。虎頭誌喜。因依或有夙緣。冠蓋追尋。居處誠爲樂地。武士佔之功名顯達。將帥佔之。勳猷烜赫。玩末二句。似亦有時行時止之意。佔者細參。,百千人則意味相當多的人，虎狼心是指作惡多端邪惡之人，必須依賴你大動干戈，才得以剷除，經過一番慘烈征戰，勝利之時，已經到了老年，有道是好景不常在，當得到名聲之時，已經逐漸老了，在有虎字頭的地方可以安樂享受老年。此籤表示經過激烈的征戰，最後克敵致勝，頤養天年，晚年安逸。,人多謀害、汝善卻敵、縱有憂驚、終自消釋。得勝回時、定在秋日、圖向西方、事事皆吉。,英謀勇略出奇兵、此去功名得意成、只恐榮華方到手、秋風吹散葉飛聲。
第 63 籤,63,庚丙 (中吉),廉頗用趙,曩時徵北且圖南，筋力雖衰尚一堪，欲識生前君大數，前三三與後三三。,病可醫、訟終平、財尋常、信有準、名將亨、婚可聘、勿強圖、隨分定。,此籤前途亨通。中間不免折挫。現在雖極疲睏。然有一番光景在後。不可墮志。亦是大數註定。必其人平日居心及行事。克邀天鑑。故能不終沒沒也。三三。乃大數應驗處。凡事失中有得。難中有易。晚景榮華。,徵北圖南。言往事遂意。如征戰者之幾處成功也。筋力既衰。一旦傾跌。似乎無濟。然始則由成而敗。後則由敗而成。尚一堪者。言尚可有爲也。大數如此。生前預定。前三三。後三三。大數之驗也。或應在三數或應在六數。或應在九數。臨事參詳。不可執一而論。,過去南征北討，無不如意順遂，雖然耗費許多筋力，而且偶有失敗，此時雖然有所阻滯，但終能由敗轉勝，還是可以得到勝利，這一切都是天理註定。此簽有數字的表示前三三與後三三，表示三、六、九等數時，有所指示，但依所問之事，而有不同的解釋，不可斷章取義，多參考其他因素。,前後謀望、皆有所成、晚年經商、尚堪一行。福分數定、不虧不盈、若欲多取、徒自勞神。,作事當圖共老成、若還疑滯欠通亨、桑榆晚景堪如願、正是皇天玉手更。
第 64 籤,64,庚丁 (上上),魯仲連排難解紛,吉人相遇本和同，況有持謀天水翁，人力不勞公論協，事成功倍笑談中。,貴遇趙、訟即了、名亦成、病可療、財有餘、婚亦好、問信音、即刻到。,此籤謀爲和合。得遇貴人提攜。凡事稱意。不勞而成。必其人素爲人所敬信。其事又爲衆所欣悅。是又恰遇機緣。一倡百和。談笑中。事立而成功。豈非天人相應。相時而動者乎。,吉人。善人也。本和同。言吉人天相。遇合自亨也。持謀。猶言主謀。天水翁。指所遇貴人而言。或應天水趙姓。或應天水二字郡縣地名。公論協。事合人心。人心歡悅。是以不勞人力。自得水到渠成之妙。笑談成功。所謂不言而信。無爲而成者也。上吉何疑。,所謂吉人自有天相，吉人處事本來就稱心如意，而且得天獨厚，能得到貴人相助，自己並不須花費多少力氣，貴人爲天水翁，指貴人應在有天或水字的地名。不須花費心力，則能得到大衆的認同且契合人心，得到事半功倍之效，而且在談笑之中就得到成功，可說是天時、地利、人和之作，這是個必定會成功的佳運。,與人謀合、況遇朝貴、援手提攜、事皆稱意。勿勞餘力、成就甚易、出入皆宜、吉無不利。,作事而今迥不同、主謀全得貴人功、蒲帆能趁東風便、萬里蓬萊咫尺通。
第 65 籤,65,庚戊 (上上),馬周獻策,朔風凜凜正窮冬，漸覺門庭喜氣濃，更入新春人事後，衷言方得信先容。,財多得、名高中、可問婚、亦宜訟、病即安、行人動、禍變消、福力重。,此籤沉滯既久。困而將亨之象。譬寒冬凜冽之際。剝極陽生。漸得交泰更新。萬物從此發生。正多美景。佔此者冬季有喜。交春人事遂意。另有一番好消息。指日俟之。,朔風凜凜。冬時窮悴極矣。門庭喜氣。生機勃勃欲動矣。更入新春。三陽開泰。光景榮華。衷言。指衷曲謀望之事。信先容。言此時信息通達。必有貴人爲之接引。爲之揄揚。衷曲得以開陳。好音不日到耳也。應驗已速。事到功成。,停滯不前的運勢，開始運作了，猶如凜冽的寒冬將盡，接着而來的就是春暖花開的春天，而且逐漸感受到喜氣洋洋，尤其是進入到新春之後，心裏的願望似乎得到了回應，出現了助你實現願望的貴人，將得到完美的成功。此籤指沉滯的運氣完全開通了，而且心想事成，就是會出現貴人來幫你實現想法，必須把握良機，尤其是冬春交際，是轉運之時。,數極於冬、窮久則通、交季冬月、喜氣重重。新春一至、和氣愈充、好遇貴客、百事皆同。,失意反成得意歸、入門一卦見仙機、當時險難皆平靜、百事和諧沒是非。
第 66 籤,66,庚己 (上上),諸葛隱南陽,耕耘只可在鄉邦，何用求謀向外方，只見今年新運好，門闌喜氣事雙雙。,病即安、訟即決、財漸豐、名高揚、行人回、婚可結、莫外求、福盡得。,此籤不宜遠行。只宜守舊。鄉邦之地。自有榮華。耕耘之中。亦有發跡。況值運限更新。門庭以內。喜事重重。自可享受優遊。倘舍現前實地。希冀遠大不可知之數。將貽後悔。居易俟命者得之。,耕耘。系農家之事。正鄉邦中所爲也。外方。則非耕耘之地矣。舍近圖遠。豈有濟乎。新運好。福氣將來也。喜氣雙雙。好事不止一件。言門庭中自有至樂。總見不可騖遠之意。佔家宅。財旺人興。流年大吉。,若要努力奮發，只需在家鄉，根本不必向外謀求機會，只要守住原來的家業，則會有很好的發展。尤其是今年遇到了大發的好流年，家中會喜氣洋洋，而且接二連三，不只一件。此籤表示今年的流年大吉大利，家中喜事連連，好運不斷，如果堅持出外打拼，則不適用此運，後果將不可想象，無法像留在家鄉中這般如意，必須深思。,出外不宜、在家必達、時運將亨、財祿俱發。好事重重、門庭改革、若欲遠圖、弄巧成拙。,自家安分莫他求、俯仰寬舒得自由、現在陽和春已到、桃紅李白樂悠悠。
第 67 籤,67,庚庚 (中平),蘇瓊下淚,才發君心天已知，何須問我決狐疑，願子改圖從孝悌，不愁家室不相宜。,訟和貴、病改醫、財有付、婚姻遲、問行人、尚未歸、能改過、事皆宜。,此簽好善有好報。作惡有惡報。示人早知警悟。現在所謀不善。天神早已洞照。自是必不可行。何須啓問。唯有改悔前過。力從孝悌上起見。自有家室和平之樂。趨吉避凶。唯人自擇。可不悟乎。,才發君心。指一念初動之際。天已知。人可瞞。天不可瞞也。何須問。言善惡彰着。可否分明。自心當自知之。不待神言之告也。改圖。去不善。以遷於善也。從孝悌。以祇父恭兄爲根本也。孝悌良善。天自降福。可得家室相宜。不足慮矣。改圖者吉。怙過者兇。,在發心動念之時，老天就都已知道了，既然是不好的壞心眼，又何必再問神佛解決心中的疑慮，其實自己的內心相當清楚，什麼是對什麼是錯，只要改過向善，將心中的壞念頭一併清除，希望能從孝悌開始做起，孝順父母、友愛手足，是最基本的孝悌之道，只要做到孝悌，則不必擔憂家中無法和樂，自然而然地家業平安快樂，有道是家和萬事興。如果不改除心中的壞念頭，厄運則隨時而至。,所謀未善、何必禱神、當決於理、改過自新。但能孝友、奉親事君、和氣生福、家道回春。,立志須從善道中、天難瞞隱意先通、能行好事培根本、管取家門喜氣濃。
第 68 籤,68,庚辛 (中吉),呂不韋居奇,南販珍珠北販鹽，年來幾倍貨財添，勸君止此求田舍，心欲多時何日厭。,訟已勝、莫再戰、名已成、勿再問、婚已定、病自散、行人歸、且安分。,此籤勸人知足不辱。知止不恥之意。凡人前事謀爲。既已遂意。現在境地。亦可粗安。即當持盈戒滿。自守清靜。就此求田問舍。自得安常處順之樂。若貪多不已。終無厭足。不唯自取煩勞。有不更招意外者乎。進退行止之幾。當自決之。,販珠販鹽。言前時謀爲多端也。貨財倍添。則可以少休矣。求田舍。乃退守者所爲。勸君止此。言當爲此退守之計。庶可免咎。心欲多。心中貪求不已也。厭。足也。貪多者。足愈不足。豈有止息。不至傾覆禍患不止。所以深戒之也。知者務爲恬靜。則亨貞之道矣。,具有相當好的生意頭腦，這幾年來得到不少的利潤，但也養成了不小的野心，奉勸你適可而止！不如放棄營利，就此退回田野生活，則可過着安居順遂的生活，人的慾望是無法滿足的，心愈貪，則越顯得不足，永無止息之日，如此下去，則會因貪而招來厄運，不到敗光家業，厄運是不會停止的。須多深思，此時是必須急流勇退的最佳時機，迴歸恬靜的生活，纔是真正的人生。,謀望既遂、利亦倍收、貪心不止、必獲後憂。知足不辱、可樂優遊、凡事如意、可休則休。,人事茫茫歷世艱、得寬閒處且寬閒、倘謀富貴無知足、並惹愆尤自往還。
