Sign_Order,Sign_Order_Num,Fortune_Level,Poem_Title,Poem_Text,Holy_Meaning,Sign_Interpretation,Divine_Guidance,Allusion
第 76 籤,76,中籤午宮,洪武看牛,魚龍混雜意相同，耐守深潭待運通；不覺一朝頭聳出，禹門一跳過龍宮。,此卦魚龍未變之象，凡事待時至可也。,雖是滋基 也要待時 營謀自本 切莫妄爲,"家宅平安　六甲生男　移徙守舊　公訟延
自身康泰　田蠶晚豐　求財有　疾病阻
交易待時　六畜尾利　行人遲　山墳發
婚姻遲合　尋人未遇",洪武看牛。洪武即明太祖朱元璋。小時家貧。替人看牛。放牛時說。草兒長。快快長。牛猛喫。草猛長。因金口說話。草越長越好。牛也常得肥壯。後在皇覺寺當過和尚。又行乞度日。最終參農民起義軍打敗元兵。建立明朝。喻英雄莫問出處。
第 77 籤,77,中籤午宮,捧璧歸趙,夢中說得是多財，聲名雲外總虛來；水遠山遙難信實，貴人指點笑顏開。,此卦夢中得寶之象，凡事虛多少實也。,如夢說夢 聲名莫望 只待好時 貴人指示,"家宅祈福　移徙待時　六甲虛　公訟和
交易難成　疾病歿送　行人遲　失物遠
婚姻不合　自身阻　六畜損　山墳改
田蠶不收　求財虛　尋人杳",完璧歸趙。春秋時代。秦強趙弱。秦王欲十五城交換和氏璧。趙國大夫藺相如攜璧至秦。見秦王欲佔不換此璧。藺相如以砸碎和氏璧相要。最後終可攜璧歸趙。
第 78 籤,78,上籤午宮,臨潼救駕,冷水未燒白涕湯，不寒不熱有溫涼；要行天下無他事，爲有身中百藝強。,此卦平善用事之象，凡事平穩大吉也。,囚人逢赦 病遇良醫 求財謀望 貴人指示,"山墳大吉利　家宅安　婚姻合　六畜旺
移徙大吉　自身吉　六甲男　尋人至
失物即見　求財遂　行人至　公訟散
疾病安然　交易成　田蠶熟",臨潼救駕。隋末。唐王李淵經過臨潼山下。秦瓊(叔寶)正於伍員廟午睡。被喊聲吵醒　秦瓊衝進重圍。殺退敵人。救了王爺一家。即被唐王重用。成爲唐朝之開國功臣。
第 79 籤,79,中籤午宮,暗扶倒銅旗,虛空結願保平安，保得身安願不還；莫忘神聖宜還了，此知神語莫輕慢。,此卦信實莫信虛之象，凡事守舊之兆也。,人有我見 心不用忙 觀音指示 切莫輕慢,"家宅還願　六甲生女　婚姻虛　公訟和
自身許經　田蠶七分　行人滯　移徙守
求財守份　失物西方　六畜損　疾病解
交易謹慎　山墳西向　尋人杳",暗扶倒銅旗。隋末。東領關由楊義成鎮守。並擺出銅旗陣。秦叔寶久攻不下。探知護陣主將羅成是他表弟。便聯絡姑母。命其子明保銅旗。暗助叔寶。秦叔寶破了銅旗陣。佔領東嶺關。得勝而歸。
第 80 籤,80,上籤未宮,智遠投軍,直上仙岩要學仙，此知一旦帝王宣；青天日月常明照，心正聲名四海傳。,此卦貴人接引之象，凡事和合大吉也。,有始有終 莫向西東 心中用事 貴人重重,"家宅平安　婚姻雙配　六畜勝　失物南
自身吉利　田蠶半收　尋人遇　疾病安
求財有利　六甲男　公訟勝　山墳吉
交易遂意　行人回　移徙吉",智遠投軍。劉智遠(知遠)。沙陶(沙陀族)人。劉志遠與妻李三娘居舅家。舅嫌其貧。哄志遠往瓜園。欲給二瓜精喫掉。志遠夜持鎗。戰瓜精走入地。掘開見劍。拾之辭妻投軍。投靠嶽勳。官至安撫使。契丹滅晉。中原無主。智遠於晉陽即帝位。改國曰後漢。仍稱天福而不改元。
第 81 籤,81,上籤未宮,風送滕王閣,梧桐葉落秋將暮，行客歸程去似雲；謝得天公高着力，順風船載寶珍歸。,此卦梧桐葉落之象，凡事先兇後吉也。,心中取事 天必從之 營謀用事 儘可施爲,"家宅祈保　六甲虛驚　交易成　尋人至
自身許經　田蠶晚勝　行人動　公訟勝
求財遂意　移徙隨意　六畜穩　疾病喜
婚姻和合　山墳擇地",風送滕王閣。唐朝鹹淳年。南昌滕王閣重建成。王勃欲往。睡夢中水神曰送君一帆。醒來至江邊。果見一船。上船後不久。即至滕王閣(離家七百里)。書滕王閣序。王勃乃唐高宗朝間一秀士。姓王名勃字子安。祖貫山西晉州龍門人氏。善詩。有頌曰：從來才子是神仙。風送南昌豈偶然。賦就滕王高閣句。便隨仙仗伴中源。(中源指水神稱中源水君。暗喻王勃成仙也)
第 82 籤,82,中籤未宮,火燒葫蘆谷,炎炎烈火焰連天，焰裏還生一朵蓮；到底得成終不害，依然生葉長根枝。,此卦火裏生蓮之象，凡事似險非險也。,雖然逢險 不損其身 營謀用事 皆遇貴人,"家宅欠安　六甲虛驚　行人阻　公訟虧
自身謹防　移徙守舊　田蠶缺　失物南
求財勞力　疾病歿送　六畜損　山墳改
交易小人　婚姻阻　尋人西",火燒葫蘆谷。三國。赤壁之戰曹操大敗。落荒而逃。孔明派大將於各處埋伏。曹操至葫蘆谷口休息。見地勢險要又無伏兵而哈哈大笑。忽聞炮響。張飛殺到。山谷到處起火。曹操急上馬。狼狽奔逃。敗走華容道。
第 83 籤,83,中籤未宮,李淵登位,譬若初三四五缺，半無半有未圓全；等待十五良宵夜，到處光明到處圓。,此卦月缺未圓之象，凡事候時則吉也。,守舊待時 如月初出 待等圓時 無有不吉,"自身夏秋吉　六甲生女　疾病歿送　公訟和
家宅許願　田蠶平穩　婚姻遲　失物難
求財謹守　六畜平穩　行人阻　山墳改
交易待時　移徙守舊　尋人難",李淵登位。公元六一八年。隋煬帝在江都看瓊花。被部下殺死。唐王李淵得知。即於太原登基稱帝。國號唐。李淵(唐高祖)在位九年。由李世民傳(唐太宗)接位。喻境況漸入佳景。
第 84 籤,84,下籤未宮,莊子試妻,因名喪德如何事，切恐吉中變化兇；酒醉不知何處去，青松影裏夢朦朧。,寒魚離水招兇之象，凡事不可移動也。,寒魚離水 美中不足 若問營謀 不如莫起,六甲煞旺　諸事不利　解除保安,莊子試妻。周朝。姓莊名周。字子休。宋國蒙邑人。仕周爲漆園吏。莊子假死試妻。其妻田氏守孝。七天後有一楚國王孫公子到訪。自稱莊子之徒。願執百日之喪。田氏愛公子俊美。不足廿日成婚。公子叫心疼。曰腦髓(人心)可治。田氏往劈莊子棺以取腦髓(人心)。莊子破棺而出。後田氏羞愧自殺。
第 85 籤,85,中籤申宮,韓文公遇雪,雲開霧罩山前路，萬物圓中月再圓；若得詩書沉夢醒，貴人指引步天台。,此卦春盡花開之象，凡事主後改變也。,老者用求 春殘再開 欲求名利 晚遇橫財,"家宅欠利　移徙更新　婚姻遲　六畜好
自身謹慎　疾病延滯　六甲女　尋人難
求財着力　山墳宜改　行人阻　失物兇
公訟反覆　交易平　田蠶好",韓文公遇雪。韓愈。字退之。昌黎人。唐德宗貞元八年進士。諡文公。因諫迎佛骨。獨怒天子。貶至潮州刺史。途經藍關。大雪封山。馬不向前。韓嘆皇上不殺我。皇天亡我矣。事前其侄韓湘子曾曰：雲橫秦嶺家何在。雪擁藍關馬不前。此時韓文公才悟其意。後韓愈棄官。財產盡捐地方。入山修道成仙。
第 86 籤,86,上籤申宮,商輅中三元,春來花發映陽臺，萬里車來進寶財；若得禹門三級浪，恰如平地一聲雷。,此卦上朝見帝之象，凡事太吉大利也。,朝帝受職 如貧得寶 謀望從心 卦中第一,從心所欲　諸事皆吉,商輅中三元。三元記。明朝。商輅。浙江人。父早亡。商輅三元及第。喻步步高昇也。(三元即三級試。鄉試：解元。省試：會元。殿試：狀元。)
第 87 籤,87,中籤申宮,咬金探地穴,人行半嶺日銜山，竣嶺崖巖未可安；仰望上天爲護佑，此身猶在太平間。,此卦淘沙見金人處險境之象，凡事有貴人之兆也。,鑿石見玉 淘沙見金 須要着力 只是勞心,"家宅祈福　婚姻有阻　山墳不阻　移徙守
自身欠利　田蠶平穩　六甲虛　失物兇
求財勞心　六畜平穩　行人遲　疾病阻
交易謹慎　尋人未遇　公訟虧",咬金探地穴。爲慶戰功。程咬金於演武楊擺宴。忽地裂一洞。深不可測。大家拈字抽籤。咬金抽得。租繩縛身入穴。見石造之門桌椅橋等。桌上還有龍袍玉帶。咬金穿着出洞。做了三年混世魔王。
第 88 籤,88,中籤酉宮,龐洪畏包公,木爲一虎在當門，須是有威不害人；分明說是無防事，憂惱遲疑恐驚心。,此卦木虎有威之象，凡事虛驚少實也。,爐頭點雪 似耳邊風 可宜作福 後吉前兇,"家宅不安　婚姻不合　行人阻　公訟虧
自身口舌　六甲虛險　田蠶損　失物兇
求財小人　移徙守舊　六畜損　山墳兇
交易不利　疾病祭虎　尋人杳",龐洪畏包公。宋朝仁宗。包公爲開封府府尹。龐洪爲國丈(皇帝作女婿)。陷將軍狄青於獄中。包公求審此案。龐洪驚畏萬分。多方阻攔。後案情大白。證實龐洪誣陷。呈宋仁宗聖裁。又因皇戚被釋。
第 89 籤,89,上籤酉宮,智服姜維,出入營謀大吉昌，似玉無瑕石裏藏；若得貴人來指引，斯時得寶喜風光。,此卦石藏珍寶之象，凡事稱心大吉也。,如石藏玉 貴人指示 得祗稱心 歡懷得意,"家宅吉利　六甲生男　行人動　失物在
自身康泰　田蠶着力　尋人見　疾病安
求財遂意　六畜勤理　公訟勝　山墳吉
婚姻成就　交易成　移徙吉",智服姜維。姜維字伯約。三國時魏大將。事母至孝。文武雙全。智勇足備。諸葛亮極爲愛惜。因此設計如何智取姜維歸順。諸葛亮一面派軍攻打姜維母親居住的冀城。引姜維出兵保護。一面派人在夜間假扮姜維投降蜀（劉備）攻打天水城。混亂魏軍。使他們相信姜維已叛變。然後逼使姜維走投無路，下馬向諸葛亮投降。諸葛亮下車迎接姜維。待之以禮。姜維也心悅誠服的歸順劉備了。(三國演義)
第 90 籤,90,上籤酉宮,葦佩遇仙,忽言一信向天飛，泰山寶貝滿船歸；若問路途成好事，前頭仍有貴人推。,此卦功名成就之象，凡事宜進大吉也。,若問功名 前有貴人 更添喜氣 財祿豐盈,諸事佳吉　求之順遂,韋佩遇仙。窮書生韋佩年近四十。牽驢過洛陽橋。一漁夫賣大鱉。韋佩不忍。但缺錢。遂以驢換鱉。於橋下放生。從此韋佩中舉。加官晉爵。或指此鱉爲仙所化。故曰韋佩遇仙。
第 91 籤,91,中籤酉宮,三戰呂布,好展愁眉出衆來，前途改變喜多財；一條大路如天闊，凡有施財盡暢懷。,此卦前途顯達之象，凡事通泰大吉也。,一條大路 可向前行 心中用事 只可向前,諸事如心　順利吉昌,三戰呂布。三國時。呂布領兵三萬入駐虎牢關。張飛持三叉戟與呂布持丈八矛相戰。不分勝負。關羽持青龍偃月刀加入。劉備又加入戰圈。是爲三英戰呂布。呂布見不能勝。逃回關內。
第 92 籤,92,上籤酉宮,蔡卿報恩,自幼爲商任設謀，財祿盈豐不用求；若是雙身謀望事，秀纔出去狀元回。,此卦自小爲商之象，凡事勤儉無憂也。,自小至大 無阻無礙 作意營謀 功名順遂,"求財順遂　疾病即安　交易勝　尋人見
六甲生男　山墳大吉　婚姻合　公訟勝
田蠶半收　家宅安　行人動　失物在
移徙如意　自身泰　六畜旺",蔡卿報恩。蔡卿即蔡伯喈(蔡邕)。上京赴考。其妻趙五娘。因家貧以糟糠果腹。鄉鄰張廣才時加接濟。蔡伯喈中了狀元。回家得知其妻獲張廣才相幫。夫妻便到張家拜謝。並贈銀兩。
第 93 籤,93,中籤戌宮,高君保招親,鸞鳳翔毛雨淋漓，當時卻被雀兒欺；終教一日雲開達，依舊還君整羽衣。,此卦鸞鳳被雨之象，凡事待時大利也。,小人日盛 君子莫爲 只宜守己 待時施爲,"家宅欠利　六甲有虛　田蠶晚　失物兇
自身謹防　行人留連　六畜損　疾病延
交易待時　移徙守舊　尋人難　山墳改
婚姻遲滯　求財阻　公訟虧",高君保(高俊保)爲高懷德之子。趙匡胤領兵徵南唐被困。高君保領兵二百押糧接濟。至雙鎖山。被女賊劉金定劫持。並強逼成親。夫妻領衆殺入重圍。救出趙匡胤。
第 94 籤,94,下籤戌宮,伯牙訪友,君子莫體小人爲，事若差池各是非；琴鳴須用知音聽，守常安靜得依稀。,此卦要逢知己之象，凡事守常則吉也。,知音方許 閒事莫理 待得貴人 無不歡喜,"家宅慎出　婚姻宜遲　六甲女　六畜損
自身小人　失物速尋　行人動　尋人勤
求財待時　疾病阻隔　田蠶少　公訟和
交易謹慎　山墳不利",(伯牙碎琴)春秋戰國。姓俞名瑞字伯牙。楚國郢都人。事晉退休。乘船遇荒山。見樵夫子期欣賞其琴。遂結契兄弟。相約一年後重敘。到期再往訪。才知鍾子期已死。往訪其墳。斷絃碎琴。曰：摔碎瑤琴鳳尾寒。子期不在對誰彈。春風滿面皆朋友。欲覓知音難上難。
第 95 籤,95,中籤戌宮,曹丕稱帝,志氣功業在朝朝，今將酒色不勝饒；若見金雞報君語，錢財福祿與君招。,此卦志氣功名之象，凡事守常大吉也。,志氣心動 守己未遲 金雞報諾 無不歡喜,"家宅祈保　婚姻有成　六甲安　移徙守
自身中平　田蠶晚成　六畜成　失物遠
求財勞心　公訟急斷　尋人難　山墳吉
交易早斷　疾病延纏",曹丕稱帝。曹丕爲曹操之次子。曹操挾天子(漢獻帝)以令諸侯。曹丕廢獻帝自立。改國號爲魏。七年後又被手下司馬炎廢掉。改國號爲晉。
第 96 籤,96,上籤戌宮,竇燕山積善,巍峨寶塔不尋常，八面玲瓏盡放光；勸君立志勤頂禮，作善蒼天降福祥。,此卦福德現身之象，凡事大吉利也。,這些福份 衆人皆見 不用心忙 福德前定,"家宅許願　婚姻好合　六甲喜　移徙吉
自身許經　田蠶平穩　行人動　山墳平
求財正勝　六畜欠利　尋人遇　失物
交易大吉　疾病禳星　公訟和",竇燕山積善。宋朝。竇燕山中年無子。一夜夢中。其父訓他去惡從善。自此竇燕山痛改前非。力行方便。並得五子。三字經有載：竇燕山。有義方。教五子。名俱揚。
第 97 籤,97,中籤亥宮,六出祁山,當風點燭空疏影，恍惚鋪成鏡裏花；累被兒竟求牧拾，怎知只是幻浮槎。,此卦當風點燭之象，凡事虛名不利也。,富貴在天 貧窮是命 不用求謀 皆是前定,"家宅祈福　婚姻中平　疾病犯陰　公訟虧
自身謹慎　六甲有驚　行人杳　失物兇
求財得利　尋人無蹤　田蠶損　山墳改
交易慎重　移徙守舊　六畜損",六出祁山。三國。祁山橫亙於魏蜀間。孔明屢出祁山伐魏不果。第六次出祁山。孔明寫了出師表。終不能勝。且死於五丈原。喻時也命也。到頭來一切皆空。
第 98 籤,98,下籤亥宮,吉平遇難,出入求謀事宜遲，只恐閒愁惹是非；如鳥飛入羅網內，脫困能有幾多時。,此卦守舊隨緣之象，凡事不如意主兇也。,守舊隨時 待貴人至 若問諸般 主事定遲,"疾病犯羅網　婚姻不長　行人困　公訟虧
家宅憂疑　六甲刑損　田蠶損　失物兇
自身小人　移徙勿動　六畜損　山墳絕
交易損失　求財破　尋人杳",吉平遇難。三國。醫師吉平。感於曹操挾天子以令諸侯。欲殺奸臣。恰曹操頭痛。吉平往治。藥中下毒。曹操發覺。嚴刑拷打吉平。吉平大罵曹操。一頭撞於石柱自殺。
第 99 籤,99,下籤亥宮,陶三春掛帥,勒馬持鞭直過來，半有憂危半有災；恰似遭火焚燒屋，天降時雨蕩成灰。,此卦半憂半喜之象，凡事只宜行善也。,終身勞力 莫管是非 枷鎖臨時 怨尤自至,"家宅祈保　移徙守舊　六甲險　公訟虧
自身守慎　疾病憂危　行人困　失物兇
婚姻刑剋　求財破　田蠶損　山墳敗
尋人招非　交易阻　六畜損",陶三春掛帥。宋朝。陶洪之女。陶三春與鄭恩比武成親。生子鄭印。娶妻王玉娥。皆習武。後聞鄭恩與趙匡胤出兵南唐被圍。陶三春帶同子媳攻打南唐。兩師會合。得勝而回。
第 100 籤,100,下籤亥宮,三教談話,佛神靈通與君知，癡人說事轉昏迷；老人求得靈籤去，不如守舊待時來。,此卦守常勿動之象，凡事宜待時吉也。,完滿靈簽盡報君知依舊勿動待等時至,此是滿簽諸事不利大作佛力可保平安,三教談道。北周武帝時。三教(儒釋道)互相排斥。皇帝召集大會辯論。經過三次爭辯。喻道在我教。理存我方。爭執不止。沒有結論。痴事一樁。後佛教成為中國人民信仰主流。也有三教同源之說。
